job_id,memory_GB,network_log10_MBps,local_IO_log10_MBps,NFS_IO_log10_MBps,failed
jobID1848357,9.7241,-0.0933,-0.0290,-3.0000,0
jobID504997,7.2982,2.9917,-0.8862,-3.0000,0
jobID3237138,39.3396,3.6434,-0.2941,-0.9685,0
jobID778008,22.2159,-1.5380,-0.3323,-2.8418,0
jobID856793,7.3193,-2.5454,-1.0405,-3.0000,0
jobID3546650,5.0192,-1.5888,0.8182,-1.9937,0
jobID1656031,15.5687,1.4112,-0.8619,-0.0901,0
jobID3088259,5.3928,0.1131,0.2250,-3.0000,1
jobID1691160,31.4221,3.5444,-0.7313,-3.0000,0
jobID286059,7.3575,-0.2440,-1.2857,-2.1517,0
jobID549168,3.5323,-1.0309,-1.5115,-1.0783,0
jobID759396,7.4477,-1.4613,-0.5924,-3.0000,0
jobID905714,16.1429,2.4159,-0.7511,1.7789,0
jobID802274,30.1695,2.7545,-0.3386,1.7950,0
jobID3549393,5.0912,2.5041,-1.1861,-2.9341,0
jobID1849328,28.6268,2.4409,-0.8754,2.0779,0
jobID1253788,60.0936,0.5760,0.1703,-3.0000,0
jobID1098362,67.5648,3.1705,-0.7765,-3.0000,1
jobID406264,30.3897,-0.8224,0.7260,-3.0000,0
jobID743146,117.2875,1.4521,-0.0624,-2.7233,0
jobID1271121,10.4959,2.4794,-0.3576,-3.0000,0
jobID743934,12.0308,2.1238,0.2615,-1.6255,1
jobID656312,22.2448,-1.5450,-0.2937,-2.4065,0
jobID449031,30.0823,2.7206,-0.2702,-1.1155,0
jobID397872,22.2792,3.2310,0.0994,-3.0000,0
jobID1076019,25.3702,0.4095,0.3793,0.2723,0
jobID610861,7.3971,3.0259,-0.7617,-3.0000,0
jobID2582038,33.6175,-1.2862,1.0562,-2.9138,0
jobID2222720,31.8388,-0.1791,-0.6650,-0.2075,0
jobID476490,22.9633,2.9285,0.5707,-3.0000,0
jobID2408031,24.9480,-0.9599,1.0127,-2.9735,0
jobID1415243,8.0452,1.3139,0.4456,-0.1970,1
jobID1567248,66.6033,3.4389,-0.9524,1.5387,1
jobID3637203,32.9989,-1.3158,1.0678,-2.9137,0
jobID270862,29.4694,1.0373,0.2122,0.8595,0
jobID408150,7.4370,1.3549,0.1174,0.3695,0
jobID1388099,158.4713,-0.9436,-0.1719,-3.0000,0
jobID1002622,9.7673,1.1455,0.6071,-1.2456,1
jobID1858688,64.3070,-1.1215,0.4698,-2.8771,0
jobID1997401,10.0967,0.5179,0.2973,-0.1267,0
jobID855549,7.6406,0.5783,0.7142,-3.0000,0
jobID2811921,4.9832,2.8823,0.4427,-1.6245,0
jobID1192462,55.3294,0.2197,-0.6673,0.1966,0
jobID721090,14.7154,-1.1992,0.3372,-3.0000,0
jobID728033,7.3138,1.0882,-0.3670,-1.3147,0
jobID32618,15.2225,2.9856,-1.0850,-3.0000,0
jobID1786501,93.3108,3.4031,-1.1527,-2.9929,0
jobID2361102,15.8881,1.5726,0.9592,-0.4662,1
jobID1642457,9.9658,-0.1348,1.0683,-0.6762,0
jobID1627739,36.4323,2.7562,-1.4331,-3.0000,0
jobID2581979,12.9041,2.4227,-0.8069,1.5453,0
jobID3084628,4.9526,0.1103,0.2657,-3.0000,1
jobID2303237,7.2694,1.0148,0.3472,1.5903,0
jobID220289,14.9811,-1.2636,-0.3449,-3.0000,0
jobID145339,14.7132,-0.0940,-0.5504,-1.3844,0
jobID1353988,78.1292,3.3731,-0.4194,-2.2021,0
jobID1871513,8.0589,0.7108,-0.7466,0.2290,0
jobID3545644,5.0519,2.7757,-0.8844,-2.6513,0
jobID655725,14.6876,0.3671,0.5246,-3.0000,0
jobID589715,10.2159,-1.4478,-1.3303,-3.0000,0
jobID2584351,34.0952,-1.2749,1.0156,-2.9138,0
jobID2491119,10.0353,0.5679,-0.5919,-0.5011,0
jobID1801078,24.5615,0.1581,-0.2618,0.0218,0
jobID225795,22.3039,3.1053,-0.7317,-3.0000,0
jobID357929,29.4477,1.2015,-0.4352,3.1593,0
jobID2463505,15.3438,2.1831,-0.6440,1.6590,0
jobID1014524,7.6083,2.4750,-1.3281,0.3757,0
jobID3638362,33.2615,-1.3498,1.1510,-2.9175,0
jobID2201896,13.8118,1.1042,0.1291,-3.0000,0
jobID3635534,33.1028,-1.2313,1.0984,-2.9051,0
jobID2336715,17.0541,-1.6056,0.0410,-3.0000,0
jobID241369,14.7507,2.4355,-0.3588,-3.0000,0
jobID1286275,100.9300,2.9616,0.0238,-3.0000,1
jobID1806594,7.5404,2.6876,-1.1132,-3.0000,0
jobID2253762,15.9003,1.7155,0.2237,-3.0000,0
jobID413668,22.2139,3.8603,-0.1248,-3.0000,0
jobID1463830,15.6859,2.1378,-1.0111,0.8205,0
jobID959546,34.8446,3.0098,-0.7117,2.9012,0
jobID2343637,43.8047,0.8811,0.4450,-0.1508,0
jobID2075513,10.1178,1.1626,0.6314,-2.4839,1
jobID2158887,10.1152,-0.0210,0.3190,-3.0000,0
jobID878537,9.4540,0.6808,0.5866,0.3739,0
jobID1010098,7.7377,0.6617,-0.2410,-1.0379,0
jobID281430,7.5296,2.9643,-0.1072,-3.0000,0
jobID573991,7.3378,2.7592,0.2163,-2.8319,0
jobID2473736,32.0064,2.6029,-0.7016,-3.0000,0
jobID3083817,5.1673,0.1300,0.1899,-3.0000,1
jobID3511258,5.0170,0.1080,0.1675,-3.0000,1
jobID514049,7.1921,2.5823,-0.7742,-1.6399,0
jobID403027,30.2124,2.7350,-0.2090,1.9139,0
jobID1923746,23.2984,3.1111,-0.7742,-1.6825,1
jobID1399310,43.7875,2.9180,-0.2515,-3.0000,0
jobID624565,7.7783,3.2080,0.6543,-1.2967,0
jobID1384998,8.1270,-1.9257,-0.6053,-3.0000,0
jobID3605762,36.8420,-1.2789,1.1106,-2.9051,0
jobID997141,10.2917,2.3723,-1.2739,0.8673,0
jobID996148,20.0506,0.4643,1.0985,-3.0000,0
jobID242209,29.9676,0.8782,-0.1313,1.8406,0
jobID1972424,65.5398,3.9594,-0.3679,-1.9968,0
jobID1700955,66.3297,2.9505,0.3819,1.9939,0
jobID2417122,9.5365,0.5249,0.2200,-0.0174,0
jobID2002383,28.4582,0.5993,0.2880,0.0304,0
jobID1278972,10.4917,3.2907,-1.3264,1.6149,0
jobID2329200,24.1832,3.2821,-0.5002,-3.0000,1
jobID866987,30.1002,3.3035,-0.0071,-3.0000,0
jobID752888,31.9000,-1.5492,0.3768,-3.0000,0
jobID54418,7.6693,2.7557,-1.2775,-3.0000,0
jobID78085,7.7449,0.0056,-1.2671,-3.0000,0
jobID2583046,33.3195,-1.2434,1.0002,-2.9138,0
jobID390099,10.8147,2.6335,-0.9028,-3.0000,1
jobID2097518,23.4769,3.1713,-0.8010,-3.0000,1
jobID1378513,35.1224,3.4080,-0.7490,-3.0000,0
jobID492794,14.9225,2.8602,-0.8496,-3.0000,1
jobID1313984,31.4484,2.5463,-1.2385,-0.8851,0
jobID160462,29.0103,2.7360,-0.6074,1.4873,0
jobID1998231,9.8768,0.5688,0.3585,0.0621,0
jobID398778,7.5128,-0.3678,-0.6039,0.0570,0
jobID891914,56.0598,2.0794,-0.0027,-3.0000,0
jobID661719,62.7639,2.8028,0.0317,2.2660,0
jobID388868,54.4035,3.3804,1.0770,2.2987,0
jobID3510429,4.9576,1.1455,0.6371,-3.0000,0
jobID1168984,32.4835,3.3614,-0.5074,-3.0000,0
jobID2047279,15.1975,1.6083,-0.8241,0.1093,0
jobID2658316,38.0120,-1.2638,1.0930,-2.9001,0
jobID1573939,43.1176,-1.0213,-0.5727,-3.0000,0
jobID1911268,9.7765,0.7150,0.2031,-1.4594,0
jobID672640,11.2343,1.6438,-0.2788,-3.0000,0
jobID227210,7.4473,3.0233,-0.8864,-3.0000,0
jobID1801139,24.5439,0.1531,-0.3555,0.1062,0
jobID2054072,9.9031,0.3632,0.2685,-3.0000,0
jobID1266609,157.0128,2.0920,0.6703,-0.9071,0
jobID1918593,10.1297,0.5913,0.4336,-0.0048,0
jobID3086710,5.2620,1.1786,0.7258,-3.0000,0
jobID731474,14.8220,0.9724,-0.1535,0.9296,0
jobID2718419,5.0567,-0.5185,-0.1327,-3.0000,0
jobID2032632,21.7919,-0.5706,0.9407,-3.0000,0
jobID659087,10.9900,0.9689,0.3940,-3.0000,0
jobID1631626,88.6634,3.2946,-0.7094,-3.0000,0
jobID1081031,14.3559,1.0081,-0.9267,2.0339,0
jobID474867,11.1631,-0.5209,-0.6673,0.0677,0
jobID2287285,7.6939,1.9447,-0.9690,0.0409,0
jobID763382,15.0513,0.7494,0.0520,-3.0000,0
jobID3507178,7.3760,2.0787,-0.9957,-0.3504,0
jobID3085623,5.1795,0.5467,0.6597,-3.0000,1
jobID2820494,76.7249,3.5895,0.0911,1.1804,0
jobID3266601,9.8521,1.6170,-1.1006,-0.8664,0
jobID1530095,9.9175,1.5864,-0.7374,1.5916,0
jobID1217306,11.9132,1.7224,-1.0980,-2.7816,0
jobID230687,22.4578,3.1328,-0.1994,-3.0000,0
jobID1500855,31.6568,2.7404,-0.4736,1.8672,0
jobID2142645,15.5535,1.8066,-0.7546,-3.0000,0
jobID550343,7.4390,-0.3760,-0.2567,0.2473,0
jobID1677367,24.3993,2.9215,0.0293,-3.0000,0
jobID2392769,24.3256,-0.7529,-0.3970,-3.0000,0
jobID1094633,43.5590,0.0500,-0.8128,-3.0000,0
jobID2900716,12.4720,2.4973,-0.3962,1.5607,0
jobID3155818,27.1886,-1.4425,-0.5705,-3.0000,0
jobID3193122,5.1581,0.0582,-0.6645,-3.0000,0
jobID1360463,69.4600,3.8018,-0.9936,-2.9619,0
jobID2300843,19.6893,3.0096,-0.5039,-3.0000,0
jobID2663427,4.9105,-1.4250,0.0590,-3.0000,0
jobID2576192,14.9893,2.9988,-0.8120,1.5855,0
jobID2265398,7.9948,-1.2741,-1.0409,-1.7009,0
jobID2047010,15.8510,3.2416,0.1404,0.0398,0
jobID406118,30.2721,3.1881,-0.6067,-1.4686,0
jobID1137703,65.7010,-1.7305,0.6046,-3.0000,0
jobID3389833,14.9429,-1.7427,-0.2583,-3.0000,0
jobID1258383,8.2102,1.6292,-0.9252,0.1375,0
jobID2075297,11.3061,0.5432,0.2851,0.0396,0
jobID1218662,19.3074,-1.3601,-0.8294,-3.0000,0
jobID428576,7.3734,0.5181,0.8582,-3.0000,0
jobID3078355,29.4363,-1.2437,0.8304,-2.9345,0
jobID2668305,20.5459,2.3390,0.4455,-3.0000,0
jobID869647,12.8459,-0.4736,-0.8972,-2.0117,0
jobID1583981,24.7053,0.3835,0.5614,0.8298,0
jobID996180,19.9241,3.0746,-0.0277,-3.0000,0
jobID1273283,15.5897,1.7559,0.0392,0.8658,0
jobID1100642,113.8358,-0.7777,0.7354,-3.0000,0
jobID1339402,9.9778,0.5872,0.2659,0.0137,0
jobID1286476,7.8129,1.2892,0.1250,-3.0000,0
jobID3443249,5.0199,0.1242,0.1244,-3.0000,1
jobID782907,7.3509,0.0040,0.1937,-3.0000,0
jobID1459450,54.8083,-1.2863,1.1870,-3.0000,0
jobID493736,7.4543,2.9393,-0.8332,-3.0000,0
jobID1532884,391.8943,3.2703,0.5625,3.0086,0
jobID1254588,8.1876,1.4191,-0.7131,0.3290,0
jobID588130,15.2957,2.9648,-0.9000,-0.5432,0
jobID2231788,49.2220,-0.9220,0.8050,-3.0000,0
jobID2132180,28.4986,-0.0546,-0.7853,-3.0000,0
jobID1731169,7.9258,-2.2532,0.0474,-3.0000,0
jobID3510325,5.2431,0.1119,0.2992,-3.0000,1
jobID1122780,19.4726,-1.6155,-0.6081,-3.0000,0
jobID32438,18.9630,3.5311,-1.1507,-0.6405,0
jobID764399,22.2669,3.1664,-0.4307,-3.0000,1
jobID2383260,68.8025,3.4462,-0.0319,-3.0000,1
jobID549731,7.2716,-1.8786,-1.2318,-3.0000,0
jobID1407057,50.1334,2.8649,-0.6245,-3.0000,0
jobID2384775,66.2146,3.4434,-0.3105,1.9501,1
jobID1316258,12.3192,1.9939,-0.9538,0.3226,0
jobID2665838,5.0734,2.4951,-1.2390,-0.6781,0
jobID1174994,9.7937,-0.6429,-0.6331,-1.1437,0
jobID3284316,12.5036,3.5057,-1.0810,-3.0000,0
jobID703847,7.7864,-1.0627,-0.6872,-3.0000,0
jobID549874,7.4192,-0.0328,-0.8224,-0.3006,0
jobID57211,7.6580,-0.2630,-0.9387,-3.0000,0
jobID328293,14.8592,2.6478,0.6000,1.6730,0
jobID2902453,12.0294,3.0811,-0.9012,-3.0000,1
jobID819078,19.2175,1.8331,0.9684,0.4368,0
jobID217909,14.7435,0.9156,0.2929,-3.0000,0
jobID1934461,21.6549,2.2750,-0.8470,2.2596,0
jobID1117482,14.9030,1.8481,-0.6824,1.8293,0
jobID573122,22.9835,3.6527,-0.5225,-3.0000,0
jobID2286262,16.1864,0.8277,-0.7117,0.0423,0
jobID1667308,10.0654,0.7935,-0.0773,0.7543,0
jobID3512659,15.1452,2.9462,-0.2264,2.1656,0
jobID2394171,9.8129,1.5732,-0.6558,1.5746,0
jobID1441779,9.7696,-0.6380,-0.3012,-3.0000,0
jobID381052,30.0943,2.7716,0.1110,-1.9363,0
jobID1668304,10.4412,0.4542,0.1813,-0.1080,0
jobID2088156,22.4774,2.4412,-0.9679,-0.1910,0
jobID3436930,12.4612,1.4437,1.1509,-0.0159,1
jobID540152,8.4272,-0.2101,-0.5018,-3.0000,0
jobID1719920,9.8386,1.6867,-0.9321,1.6500,0
jobID1667266,9.9570,0.5298,0.2938,-0.0992,0
jobID3546152,5.0333,2.6232,-0.6119,-0.7142,0
jobID1115461,11.8916,2.7393,-1.3698,0.5291,0
jobID718097,107.3494,-0.7045,0.5154,-3.0000,0
jobID1669727,10.4684,0.6079,0.3683,0.0261,0
jobID671351,11.1490,2.1824,-0.7786,1.4599,0
jobID649009,15.4952,0.4619,0.5790,-3.0000,0
jobID1341458,70.2689,2.4893,-0.4329,1.3860,0
jobID2806878,15.0103,3.5704,-0.3710,-3.0000,0
jobID991279,21.0615,3.1213,-0.9375,-3.0000,0
jobID1440738,24.8111,0.3722,-0.6013,0.3518,0
jobID2110772,7.4731,3.2080,0.6799,-1.3063,0
jobID231924,11.2277,-0.3474,0.0780,-3.0000,0
jobID442702,12.0141,-1.4127,-1.0099,-3.0000,0
jobID232846,29.9084,2.7497,0.1445,1.6062,0
jobID2753958,70.9506,3.8336,-1.0627,-2.9663,0
jobID1240268,7.6227,2.1258,-0.6882,-0.2399,0
jobID2063997,7.8498,-2.1439,-0.0978,-3.0000,0
jobID334006,7.5896,0.8650,-0.3759,0.8505,0
jobID591974,15.0214,-2.6407,-0.3429,-3.0000,0
jobID1657087,11.6821,2.9141,-1.0126,-0.4038,0
jobID3510787,5.1228,0.5842,0.6789,-3.0000,1
jobID3367716,12.3114,2.5561,-0.6509,1.7268,0
jobID2266194,7.8397,-1.4326,-0.8358,-1.9307,0
jobID2662877,4.9920,2.6193,-1.4414,-2.6527,0
jobID306992,14.9253,2.7418,0.1921,-3.0000,1
jobID541913,18.4965,2.2402,1.0744,2.2248,0
jobID54563,15.1021,3.1619,0.8508,-1.3310,0
jobID2337170,15.4402,2.0871,-0.8362,0.7673,0
jobID1928542,10.5021,2.5600,-1.1394,-3.0000,0
jobID1171847,39.6236,2.8035,-0.0997,2.1665,0
jobID1339237,9.7908,0.5216,0.3048,-0.1454,0
jobID2573075,11.7353,2.9076,-1.0639,-3.0000,0
jobID2871193,17.6411,1.5515,-0.1524,-3.0000,0
jobID2275690,9.8798,-2.0547,0.7731,-3.0000,0
jobID195040,58.3368,2.6894,-0.1969,2.7440,0
jobID2225024,10.6936,2.6540,-1.0414,-3.0000,0
jobID3522232,10.0753,-0.5705,-0.8014,-1.5763,0
jobID2803511,16.0347,3.3486,-0.9452,-3.0000,0
jobID809679,387.3932,1.8398,2.3712,-3.0000,0
jobID1482943,22.4467,0.5027,0.7323,-3.0000,0
jobID2812556,12.6432,3.1567,-0.9758,-0.1069,0
jobID1788753,15.2389,-0.5748,-0.6966,-1.0690,0
jobID1141022,66.6776,2.9615,-0.5003,-1.8190,0
jobID1269677,10.6483,2.5855,-0.8805,-3.0000,0
jobID2460148,28.8389,-1.5719,-0.6662,-2.9602,0
jobID1405237,7.5788,2.0537,-0.7863,-0.3047,0
jobID231821,18.4465,3.3765,-0.7298,-3.0000,0
jobID1178578,17.8472,2.9205,-1.5700,-3.0000,0
jobID2669325,36.7802,-1.2997,0.9163,-2.9270,0
jobID966212,18.7529,0.2622,0.0264,0.1412,0
jobID1249757,28.0656,3.1340,-0.8383,-3.0000,0
jobID310931,22.1080,3.5461,-0.6589,-3.0000,0
jobID2534549,10.4887,-0.7075,0.8332,-3.0000,0
jobID1853413,34.1273,3.4380,-0.9415,-3.0000,1
jobID1083053,25.2067,1.6104,-0.6670,-3.0000,0
jobID460177,15.2617,3.2332,-0.3822,-2.1451,1
jobID147007,29.0128,-1.6159,0.1694,-3.0000,0
jobID1355678,89.6612,-1.3372,1.2534,-3.0000,0
jobID1445516,22.9773,-2.2567,-1.8816,-3.0000,0
jobID2661665,5.0760,2.5597,-1.2716,-2.6454,0
jobID590049,14.3091,0.7550,1.2647,-3.0000,0
jobID1937464,44.2921,2.4893,-0.7357,-3.0000,0
jobID3505697,32.3870,-1.2677,1.0790,-2.9002,0
jobID199767,14.4499,3.2589,-0.8812,-3.0000,0
jobID1928897,10.4288,2.6388,-0.9543,-3.0000,0
jobID985114,45.2817,2.6018,-0.8551,-2.9894,0
jobID3376027,4.9983,2.5570,-1.1038,-3.0000,0
jobID469463,35.9945,-1.2637,0.0847,-2.9919,0
jobID2975793,9.9488,0.0389,-0.7695,-0.1386,0
jobID1184928,102.2476,-1.0761,1.1227,-3.0000,0
jobID3058426,15.0575,-1.3542,-0.5001,-3.0000,0
jobID2087782,145.9858,-1.2569,0.3582,-2.9882,0
jobID1604073,9.8496,1.5679,-0.2819,1.5134,0
jobID2641515,9.9228,-0.0698,-0.8555,-0.2867,0
jobID3502008,32.4389,-0.7942,0.9817,-2.9270,0
jobID1723829,10.1794,0.5133,0.4191,-0.1028,0
jobID3505489,32.5697,-1.0335,0.8395,-2.9345,0
jobID2074627,9.9345,0.3335,0.2758,-0.0330,0
jobID2663899,33.0709,2.2267,-0.7277,-2.9607,0
jobID2033179,53.1720,0.2876,0.5696,0.2354,0
jobID1972971,8.1568,2.3059,-0.7689,-0.1919,0
jobID2586633,33.9055,-1.2772,0.8676,-2.9175,0
jobID1421945,65.0441,1.2561,-0.0108,-3.0000,0
jobID674669,7.1744,0.6144,-0.4033,-3.0000,0
jobID3469693,19.8576,-1.0577,0.4062,-2.9908,0
jobID163423,29.1687,3.7740,-0.6648,-3.0000,0
jobID723194,14.7836,-1.6790,-0.9046,-2.0470,0
jobID431407,11.0400,0.3614,0.3921,-3.0000,0
jobID1679332,15.4879,-1.9000,0.4341,-3.0000,0
jobID2336885,8.1634,-1.9257,-1.0735,-2.3556,0
jobID1774195,65.6023,3.8119,-0.9373,-1.2755,0
jobID231588,14.9041,0.3358,0.5127,-3.0000,0
jobID231044,60.0052,3.5198,-0.0032,-2.6144,0
jobID2032212,376.8352,3.3197,1.6864,-2.9802,0
jobID266291,22.0056,3.0641,-0.8153,-3.0000,0
jobID321643,15.0203,0.0279,0.2609,-3.0000,0
jobID233126,30.6213,3.1579,-0.3765,-1.6187,0
jobID713015,7.6288,1.5874,-0.2107,-3.0000,0
jobID2451958,13.7812,3.2345,0.6744,-1.2826,0
jobID195178,28.8703,1.2874,-0.4676,3.1538,0
jobID2666163,4.9753,2.6344,-1.4618,-2.5871,0
jobID751558,62.3465,0.4779,-0.3086,-0.5772,0
jobID1853595,31.3196,-1.5570,-0.9260,-2.9957,0
jobID759749,7.4085,1.0651,0.4001,-3.0000,0
jobID692039,7.2952,1.7957,-0.4239,-0.1749,0
jobID2491128,10.4082,0.2137,-0.5052,0.1357,0
jobID364519,15.3787,-1.9167,-0.5592,-3.0000,0
jobID1197317,44.7206,3.5557,-0.6329,-3.0000,0
jobID193241,7.1260,-1.8066,-1.0794,-3.0000,0
jobID2074968,9.9539,-0.7436,-0.7576,-3.0000,0
jobID2111881,19.2756,-1.4060,-0.3706,0.3014,0
jobID1083128,29.4944,3.1317,-0.3421,0.1505,0
jobID3441172,5.1069,0.1088,0.1585,-3.0000,1
jobID560135,18.5438,-0.1877,0.7871,-3.0000,0
jobID2271338,7.3361,0.7389,-0.8337,0.1456,0
jobID1269795,10.0620,0.4561,-0.0514,-3.0000,0
jobID364418,16.1633,3.0391,-0.0416,-3.0000,0
jobID813102,11.7307,-2.5407,0.1631,-3.0000,0
jobID1266916,10.5147,2.5713,-0.7157,-3.0000,0
jobID1546139,15.6316,0.8064,0.8318,-3.0000,1
jobID2413452,22.8162,2.6867,-0.2738,1.7382,0
jobID2211136,19.1559,3.6224,-0.6313,-3.0000,1
jobID3502207,12.5538,1.3640,1.0247,-0.0962,1
jobID797538,29.1542,-1.0846,-0.7357,-1.4517,0
jobID1757935,16.5370,2.5169,-0.8222,2.6239,0
jobID103643,28.9347,3.1110,-0.3765,-3.0000,0
jobID279866,29.5868,1.3015,-0.1366,3.1746,0
jobID1273500,20.0455,0.6326,-0.5112,1.5576,0
jobID3502225,33.1788,-1.3204,0.5772,-3.0000,0
jobID3259606,37.4613,-1.3498,0.9914,-2.9209,0
jobID680233,14.8375,2.0317,-0.4345,-3.0000,0
jobID3441487,4.9919,0.5058,0.6267,-3.0000,1
jobID1384906,7.7509,1.9333,-0.7022,-0.6066,0
jobID3539487,7.4435,3.2169,-1.3196,-2.5532,0
jobID909165,20.1008,-1.6314,-0.7878,-3.0000,0
jobID1418962,19.5847,0.3212,-0.2089,0.2830,0
jobID539373,7.7732,-1.2993,0.9104,-3.0000,0
jobID368102,7.2788,3.0112,-0.9944,-3.0000,0
jobID449324,59.8899,2.4895,0.2943,2.3601,0
jobID350782,22.3208,3.3779,-0.5923,-3.0000,1
jobID685655,15.0972,3.1649,-0.9258,-3.0000,0
jobID1294050,53.8406,-2.1823,-1.4337,-3.0000,0
jobID2001304,9.9882,0.4661,0.1819,-0.0028,0
jobID561727,14.8306,-1.4711,-0.8000,-3.0000,0
jobID225960,21.8856,3.2504,-0.5994,-3.0000,0
jobID3171976,7.9958,0.5366,0.2395,-3.0000,0
jobID1856250,9.9074,0.5356,0.1834,-0.1365,0
jobID2912507,9.9379,2.7418,-1.1202,1.3157,0
jobID1970647,11.9523,-1.7747,0.4797,-3.0000,0
jobID683473,14.9454,2.9806,-1.0932,-3.0000,0
jobID2457372,20.2642,3.0110,-0.8050,-3.0000,0
jobID2128746,22.8057,3.1736,-0.7390,-3.0000,0
jobID1107876,14.9833,-1.6493,-1.1832,-3.0000,0
jobID138236,14.5501,3.0035,-0.9725,-3.0000,0
jobID2864503,21.6143,3.3837,0.1977,-3.0000,0
jobID471949,23.4613,3.3569,-0.7046,-3.0000,0
jobID1669277,19.7686,0.7944,0.5087,-3.0000,1
jobID830777,16.2616,-2.3853,0.1782,-3.0000,0
jobID2624659,14.8624,-0.8434,-0.3462,-3.0000,0
jobID1767072,20.0092,-1.2865,0.2360,-3.0000,0
jobID828940,59.5656,3.6129,0.6124,-3.0000,0
jobID5103,30.9411,0.6299,1.2064,-3.0000,0
jobID3530034,9.9533,3.2614,-1.0974,-3.0000,0
jobID1928696,10.0805,-0.2622,0.3241,-3.0000,0
jobID2765182,14.8505,2.4550,1.2740,-1.3438,0
jobID3442157,4.9447,-2.0184,-0.9779,-3.0000,0
jobID1512253,19.3426,-1.2396,0.5329,-3.0000,0
jobID919373,21.7611,-0.6716,0.9822,-3.0000,0
jobID1947312,88.5104,-1.4269,0.9521,-3.0000,0
jobID3546019,5.2880,2.7025,-1.1935,-2.4757,0
jobID147630,53.9666,-1.0341,0.3202,-3.0000,0
jobID1237965,29.1318,3.1161,-0.8317,-3.0000,0
jobID361750,29.9170,0.7961,-0.6162,-3.0000,0
jobID298776,7.5967,2.5418,-0.7655,-2.9769,0
jobID519374,26.7545,3.4457,-0.2688,-3.0000,1
jobID1601894,29.4062,2.8002,-0.7142,2.2378,0
jobID963378,54.1951,-1.1972,1.0261,-3.0000,0
jobID2862441,7.6514,0.0992,-1.3125,-0.0399,0
jobID2267213,12.3418,2.1454,-1.0558,1.6296,0
jobID491394,62.2619,2.4755,-0.0829,2.5836,0
jobID549183,7.5074,-1.1472,-1.3531,-1.2160,0
jobID571827,7.8866,2.6633,-1.2347,-3.0000,0
jobID1750637,128.2624,-0.9266,0.3375,-3.0000,0
jobID466419,18.6550,-0.7629,-0.3580,-0.9746,1
jobID1117536,22.2261,-2.3000,-0.6709,-3.0000,0
jobID581090,46.0384,0.1936,0.2584,-3.0000,0
jobID390065,14.7206,2.7694,-0.8551,-3.0000,0
jobID24460,15.3382,-2.9181,0.0263,-3.0000,0
jobID476955,7.6200,-2.3604,-1.3093,-3.0000,0
jobID1238348,14.5337,1.8675,-0.4264,-3.0000,0
jobID688317,7.6641,3.2080,0.6485,-1.2967,0
jobID470802,7.2621,0.1446,-0.2575,-0.5277,0
jobID3510061,5.0770,1.1434,0.6771,-3.0000,0
jobID1442439,91.9073,3.2218,-0.1392,-3.0000,0
jobID2730941,5.0160,2.5290,-1.1293,-2.5951,0
jobID3261597,12.4837,-0.0458,-0.2902,-1.1952,0
